epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.74,1.67976,7.5788,0.88643,0.5301,0.00586,0.00297,0.00256,1.84306,5.22551,0.71237,1.46474e-05,1.46474e-05,1.46474e-05
2,245.924,1.70332,6.30901,0.8306,0.00128,0.05239,0.00304,0.00237,1.84001,5.94622,0.70622,2.90239e-05,2.90239e-05,2.90239e-05
3,357.394,1.58519,5.29506,0.82131,0.00144,0.06588,0.00195,0.00155,1.79475,6.37005,0.70416,4.311e-05,4.311e-05,4.311e-05
4,468.39,1.52471,4.70562,0.81641,0.00071,0.05418,0.00089,0.00058,1.73983,6.95685,0.70079,4.26932e-05,4.26932e-05,4.26932e-05
5,579.605,1.43202,4.27587,0.81696,0.00096,0.05784,0.00122,0.00079,1.73598,6.37303,0.69816,4.22576e-05,4.22576e-05,4.22576e-05
6,690.808,1.41903,3.94896,0.81324,0.00557,0.08801,0.00535,0.00456,1.70319,6.23494,0.69608,4.1822e-05,4.1822e-05,4.1822e-05
7,802.446,1.37887,3.71727,0.81181,0.00303,0.07522,0.0033,0.00253,1.68353,6.38289,0.69641,4.13864e-05,4.13864e-05,4.13864e-05
8,913.477,1.3643,3.53807,0.80888,0.00212,0.09315,0.00272,0.00195,1.65213,6.33037,0.695,4.09508e-05,4.09508e-05,4.09508e-05
9,1024.64,1.33595,3.34913,0.81114,0.00285,0.09416,0.00324,0.00226,1.63451,5.88352,0.6942,4.05152e-05,4.05152e-05,4.05152e-05
10,1136.11,1.30219,3.21817,0.81077,0.00633,0.10672,0.00591,0.00431,1.65509,5.7816,0.69754,4.00796e-05,4.00796e-05,4.00796e-05
11,1247.74,1.29479,3.09223,0.80794,0.00499,0.13053,0.00602,0.00404,1.62713,6.4187,0.69598,3.9644e-05,3.9644e-05,3.9644e-05
12,1359,1.28486,2.96257,0.80586,0.00609,0.12874,0.00801,0.00573,1.62259,5.85068,0.6932,3.92084e-05,3.92084e-05,3.92084e-05
13,1469.9,1.28543,2.85386,0.80788,0.00709,0.15384,0.00978,0.00687,1.63174,6.22032,0.69511,3.87728e-05,3.87728e-05,3.87728e-05
14,1581.14,1.25764,2.79132,0.8063,0.00831,0.14102,0.01158,0.00827,1.61046,5.81143,0.69283,3.83372e-05,3.83372e-05,3.83372e-05
15,1692.39,1.25337,2.67341,0.80925,0.00804,0.16084,0.01585,0.01128,1.60999,6.06154,0.69163,3.79016e-05,3.79016e-05,3.79016e-05
16,1803.07,1.26337,2.60199,0.80678,0.00804,0.1804,0.01529,0.01103,1.59054,5.71173,0.69214,3.7466e-05,3.7466e-05,3.7466e-05
17,1914.65,1.24013,2.54695,0.8077,0.00651,0.19471,0.01665,0.0121,1.56943,6.00076,0.69074,3.70304e-05,3.70304e-05,3.70304e-05
18,2025.68,1.23428,2.51372,0.8027,0.00771,0.17798,0.01474,0.01082,1.56963,5.55612,0.69048,3.65948e-05,3.65948e-05,3.65948e-05
19,2136.02,1.23421,2.42335,0.80221,0.00768,0.1946,0.01638,0.01229,1.60866,6.04343,0.69346,3.61592e-05,3.61592e-05,3.61592e-05
20,2246.58,1.23925,2.36849,0.80029,0.00806,0.20913,0.0181,0.01293,1.56131,5.52499,0.69342,3.57236e-05,3.57236e-05,3.57236e-05
21,2357.11,1.23575,2.30668,0.80183,0.00833,0.20058,0.01832,0.01337,1.57571,5.611,0.69245,3.5288e-05,3.5288e-05,3.5288e-05
22,2468.47,1.21386,2.26697,0.80317,0.00823,0.21561,0.0193,0.01397,1.56671,5.66312,0.69013,3.48524e-05,3.48524e-05,3.48524e-05
23,2578.55,1.22444,2.26255,0.80384,0.00758,0.20454,0.01901,0.01387,1.60747,5.33267,0.69205,3.44168e-05,3.44168e-05,3.44168e-05
24,2689.56,1.19226,2.16632,0.80063,0.00859,0.23853,0.02264,0.01608,1.55554,5.43039,0.68953,3.39812e-05,3.39812e-05,3.39812e-05
25,2800.39,1.19958,2.15253,0.80241,0.00737,0.23395,0.02154,0.01538,1.56211,5.53287,0.69244,3.35456e-05,3.35456e-05,3.35456e-05
26,2910.52,1.18583,2.11226,0.80186,0.19695,0.07165,0.02733,0.01975,1.54459,5.31504,0.69002,3.311e-05,3.311e-05,3.311e-05
27,3021.57,1.2176,2.08969,0.80147,0.22131,0.05835,0.026,0.01821,1.57244,5.38958,0.69342,3.26744e-05,3.26744e-05,3.26744e-05
28,3131.52,1.19273,2.05665,0.80152,0.25483,0.05514,0.02738,0.01934,1.54763,5.67035,0.69106,3.22388e-05,3.22388e-05,3.22388e-05
29,3241.79,1.20304,2.0238,0.79748,0.03931,0.19875,0.02739,0.01883,1.54252,5.69747,0.69073,3.18032e-05,3.18032e-05,3.18032e-05
30,3352.19,1.1749,1.97516,0.80213,0.17954,0.0878,0.03228,0.02415,1.54039,5.46708,0.68929,3.13676e-05,3.13676e-05,3.13676e-05
31,3463.24,1.16123,1.94384,0.79605,0.26664,0.05318,0.02942,0.02135,1.53028,5.57049,0.68931,3.0932e-05,3.0932e-05,3.0932e-05
32,3573.97,1.16171,1.92617,0.80254,0.14084,0.09862,0.03409,0.02503,1.52764,5.25929,0.6915,3.04964e-05,3.04964e-05,3.04964e-05
33,3684.2,1.16817,1.88972,0.80001,0.14963,0.10528,0.03299,0.0244,1.52701,5.46325,0.68858,3.00608e-05,3.00608e-05,3.00608e-05
34,3795.24,1.1709,1.8826,0.79664,0.27207,0.05787,0.03302,0.02415,1.52595,5.37508,0.68862,2.96252e-05,2.96252e-05,2.96252e-05
35,3905.11,1.15997,1.84964,0.79983,0.17229,0.0938,0.03317,0.02432,1.51947,5.52134,0.68855,2.91896e-05,2.91896e-05,2.91896e-05
36,4014.43,1.17626,1.82117,0.80049,0.23028,0.06625,0.03286,0.02369,1.52135,5.36433,0.68819,2.8754e-05,2.8754e-05,2.8754e-05
37,4123.56,1.16375,1.82319,0.79822,0.228,0.07617,0.03562,0.02572,1.50777,5.23583,0.68759,2.83184e-05,2.83184e-05,2.83184e-05
38,4233.32,1.14365,1.77596,0.79902,0.21841,0.0652,0.03039,0.02224,1.52873,5.43437,0.68938,2.78828e-05,2.78828e-05,2.78828e-05
39,4342.91,1.15129,1.75788,0.79792,0.2348,0.07472,0.03642,0.02641,1.50065,5.35984,0.68773,2.74472e-05,2.74472e-05,2.74472e-05
40,4452.58,1.16457,1.73463,0.79788,0.21022,0.06158,0.0369,0.02715,1.50606,5.46336,0.68849,2.70116e-05,2.70116e-05,2.70116e-05
41,4562.03,1.17715,1.72746,0.7993,0.23389,0.06356,0.0326,0.02353,1.51913,5.32196,0.68806,2.6576e-05,2.6576e-05,2.6576e-05
42,4671.39,1.15868,1.68719,0.79865,0.22204,0.07582,0.03856,0.02845,1.51585,5.36008,0.68775,2.61404e-05,2.61404e-05,2.61404e-05
43,4787.05,1.15074,1.68403,0.79851,0.23769,0.07498,0.04249,0.03118,1.52064,5.30587,0.68869,2.57048e-05,2.57048e-05,2.57048e-05
44,4904.1,1.13537,1.65499,0.79675,0.23659,0.0786,0.04023,0.02821,1.51167,5.16024,0.69148,2.52692e-05,2.52692e-05,2.52692e-05
45,5021.16,1.13814,1.63085,0.79739,0.22842,0.0678,0.03692,0.02522,1.50111,5.22917,0.6868,2.48336e-05,2.48336e-05,2.48336e-05
46,5138.23,1.13508,1.6414,0.79828,0.233,0.06847,0.03394,0.02405,1.49256,5.21249,0.68822,2.4398e-05,2.4398e-05,2.4398e-05
47,5255.41,1.13782,1.62347,0.79554,0.24168,0.07421,0.03386,0.02374,1.49856,5.20061,0.6885,2.39624e-05,2.39624e-05,2.39624e-05
48,5372.32,1.13111,1.60162,0.79662,0.27203,0.09414,0.04026,0.02861,1.50147,5.00677,0.68745,2.35268e-05,2.35268e-05,2.35268e-05
49,5489.14,1.13872,1.58412,0.79466,0.26209,0.08079,0.03488,0.0246,1.50583,5.40879,0.6881,2.30912e-05,2.30912e-05,2.30912e-05
50,5606.57,1.13325,1.56355,0.79781,0.22579,0.07498,0.03543,0.02508,1.4873,5.09464,0.68812,2.26556e-05,2.26556e-05,2.26556e-05
