epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,4067.55,1.07903,2.04836,0.8255,0.00836,0.2128,0.02309,0.02185,0.01865,1.16906,5.42064,0.6685,3.22388e-05,3.22388e-05,3.22388e-05
29,4212.62,1.07882,2.0145,0.82515,0.00803,0.21925,0.02254,0.02029,0.01794,1.15967,5.53939,0.66668,3.18032e-05,3.18032e-05,3.18032e-05
30,4363.98,1.05524,1.98015,0.82476,0.00784,0.22563,0.02565,0.02336,0.02035,1.16506,5.60198,0.66846,3.13676e-05,3.13676e-05,3.13676e-05
31,4511.53,1.07066,1.96819,0.82225,0.00789,0.21214,0.02187,0.01968,0.01721,1.16217,5.45069,0.6688,3.0932e-05,3.0932e-05,3.0932e-05
32,4659.73,1.06125,1.92707,0.82282,0.00885,0.22765,0.0227,0.02002,0.01779,1.17208,5.3643,0.66882,3.04964e-05,3.04964e-05,3.04964e-05
33,4804.45,1.06725,1.90279,0.8216,0.00861,0.22953,0.02451,0.02244,0.01932,1.16245,5.36968,0.66657,3.00608e-05,3.00608e-05,3.00608e-05
34,4950.83,1.05842,1.87512,0.82192,0.00894,0.23046,0.02158,0.01951,0.01717,1.16929,5.3897,0.66867,2.96252e-05,2.96252e-05,2.96252e-05
35,5095.33,1.05437,1.8709,0.82235,0.00962,0.25226,0.02611,0.02291,0.02037,1.1666,5.43067,0.67125,2.91896e-05,2.91896e-05,2.91896e-05
36,5242.8,1.04479,1.82059,0.82291,0.01018,0.23309,0.02533,0.02287,0.01973,1.17685,5.28409,0.6697,2.8754e-05,2.8754e-05,2.8754e-05
37,5391.49,1.06118,1.79254,0.82669,0.00968,0.23995,0.02647,0.02469,0.02115,1.17352,5.44227,0.66971,2.83184e-05,2.83184e-05,2.83184e-05
38,5540.89,1.05115,1.76516,0.81686,0.2426,0.03479,0.02862,0.02549,0.02249,1.16814,5.32536,0.6697,2.78828e-05,2.78828e-05,2.78828e-05
39,5687.73,1.04752,1.76166,0.82169,0.25001,0.03528,0.02646,0.02339,0.02065,1.16685,5.32812,0.66867,2.74472e-05,2.74472e-05,2.74472e-05
40,5837.68,1.02676,1.69453,0.82224,0.23462,0.02853,0.0284,0.02503,0.02215,1.1639,5.22189,0.66749,2.70116e-05,2.70116e-05,2.70116e-05
41,5984.21,1.01663,1.67308,0.82176,0.26686,0.03807,0.02921,0.02406,0.02234,1.17686,5.29788,0.6693,2.6576e-05,2.6576e-05,2.6576e-05
42,6125.68,1.01853,1.65889,0.82309,0.19082,0.05224,0.02955,0.02641,0.0233,1.16521,5.2057,0.66905,2.61404e-05,2.61404e-05,2.61404e-05
43,6271.78,1.04074,1.64868,0.82315,0.24472,0.04649,0.03216,0.02568,0.02458,1.1647,5.21081,0.66827,2.57048e-05,2.57048e-05,2.57048e-05
44,6414.28,1.0053,1.63773,0.81601,0.2512,0.04083,0.03037,0.02393,0.0228,1.17427,5.2572,0.6697,2.52692e-05,2.52692e-05,2.52692e-05
45,6551.87,1.01395,1.64779,0.81788,0.25556,0.03349,0.03145,0.02879,0.02456,1.16624,5.25044,0.66894,2.48336e-05,2.48336e-05,2.48336e-05
46,6689.94,1.03531,1.61776,0.82088,0.00983,0.27658,0.03159,0.02497,0.02384,1.16831,5.1803,0.6692,2.4398e-05,2.4398e-05,2.4398e-05
47,6827.78,1.02326,1.62069,0.82033,0.16273,0.06319,0.03187,0.02956,0.02443,1.16204,5.24676,0.66906,2.39624e-05,2.39624e-05,2.39624e-05
48,6965.47,1.01191,1.56615,0.82119,0.26751,0.03708,0.0313,0.02888,0.02405,1.15858,5.27144,0.66856,2.35268e-05,2.35268e-05,2.35268e-05
49,7103.23,1.03463,1.58076,0.81994,0.25493,0.04309,0.03427,0.0319,0.02708,1.16056,5.17865,0.67054,2.30912e-05,2.30912e-05,2.30912e-05
50,7240.47,1.01431,1.53781,0.81956,0.16442,0.05699,0.03058,0.02789,0.02359,1.15422,5.12898,0.6685,2.26556e-05,2.26556e-05,2.26556e-05
51,7377.76,0.99426,1.53551,0.81886,0.21725,0.04676,0.0321,0.02554,0.02439,1.15226,5.28499,0.66883,2.222e-05,2.222e-05,2.222e-05
52,7515.1,1.01958,1.5341,0.82032,0.16194,0.0792,0.0295,0.02681,0.02261,1.14759,5.11778,0.66762,2.17844e-05,2.17844e-05,2.17844e-05
53,7652.66,0.99493,1.48974,0.81799,0.01185,0.28398,0.03116,0.02785,0.02336,1.1496,5.2861,0.66849,2.13488e-05,2.13488e-05,2.13488e-05
54,7792.34,1.0051,1.50727,0.81783,0.10817,0.13993,0.03169,0.02834,0.02396,1.15742,5.25554,0.66675,2.09132e-05,2.09132e-05,2.09132e-05
55,7937,1.00466,1.47532,0.81809,0.12037,0.09161,0.03269,0.02892,0.02506,1.15023,5.12848,0.66795,2.04776e-05,2.04776e-05,2.04776e-05
56,8081.34,1.00106,1.44775,0.81778,0.23195,0.05212,0.0344,0.03074,0.02597,1.16335,5.21816,0.66818,2.0042e-05,2.0042e-05,2.0042e-05
57,8222.43,0.99444,1.46088,0.81826,0.11906,0.10738,0.03414,0.02991,0.02539,1.1428,5.03452,0.66812,1.96064e-05,1.96064e-05,1.96064e-05
58,8362.79,0.99979,1.42963,0.81763,0.14882,0.06777,0.0337,0.03025,0.02522,1.14363,5.17061,0.66632,1.91708e-05,1.91708e-05,1.91708e-05
59,8507.3,1.0104,1.44514,0.81817,0.20197,0.0582,0.0353,0.03153,0.0266,1.15245,5.25137,0.6676,1.87352e-05,1.87352e-05,1.87352e-05
60,8649.72,0.98718,1.40721,0.81472,0.17712,0.06356,0.03587,0.03148,0.0269,1.15035,5.23182,0.66748,1.82996e-05,1.82996e-05,1.82996e-05
61,8791.78,0.98844,1.40883,0.81832,0.16505,0.06476,0.03647,0.03204,0.02745,1.1483,5.2236,0.66812,1.7864e-05,1.7864e-05,1.7864e-05
62,8933.76,1.00222,1.40478,0.81691,0.12158,0.11807,0.03566,0.0316,0.02674,1.14483,5.15521,0.66827,1.74284e-05,1.74284e-05,1.74284e-05
63,9079.46,0.98281,1.38365,0.81247,0.12228,0.10783,0.03877,0.0345,0.02838,1.14616,5.20984,0.66872,1.69928e-05,1.69928e-05,1.69928e-05
64,9222.89,0.98565,1.36504,0.81604,0.17236,0.06785,0.03438,0.03007,0.02552,1.14696,5.24768,0.66862,1.65572e-05,1.65572e-05,1.65572e-05
65,9373.48,0.97605,1.35134,0.81573,0.11322,0.09438,0.03377,0.0293,0.02547,1.13871,5.17747,0.66741,1.61216e-05,1.61216e-05,1.61216e-05
66,9519.11,0.99808,1.37552,0.81642,0.21089,0.048,0.03479,0.03017,0.02585,1.14783,5.15223,0.66696,1.5686e-05,1.5686e-05,1.5686e-05
67,9667.3,0.9852,1.37088,0.81654,0.15863,0.06304,0.0356,0.03117,0.02671,1.14673,5.14318,0.66704,1.52504e-05,1.52504e-05,1.52504e-05
68,9816.14,0.97774,1.33201,0.81558,0.19952,0.06023,0.03554,0.03072,0.02655,1.14588,5.16871,0.6678,1.48148e-05,1.48148e-05,1.48148e-05
69,9961.84,0.98393,1.33209,0.81786,0.18071,0.05957,0.03571,0.03077,0.0265,1.13873,5.22832,0.66667,1.43792e-05,1.43792e-05,1.43792e-05
70,10104.7,0.96844,1.32377,0.81305,0.16796,0.06432,0.04056,0.02801,0.02884,1.14373,5.1048,0.66542,1.39436e-05,1.39436e-05,1.39436e-05
71,10248.8,0.98245,1.31668,0.81378,0.15201,0.0729,0.0398,0.03501,0.02887,1.13891,5.11778,0.66762,1.3508e-05,1.3508e-05,1.3508e-05
72,10395.2,0.9688,1.3066,0.81696,0.17661,0.0689,0.03956,0.0345,0.02864,1.13838,5.06988,0.66695,1.30724e-05,1.30724e-05,1.30724e-05
73,10537.5,0.97516,1.31541,0.81618,0.20436,0.05029,0.03543,0.03061,0.02615,1.13802,5.19527,0.66725,1.26368e-05,1.26368e-05,1.26368e-05
74,10680.6,0.97321,1.30161,0.81647,0.16016,0.08306,0.03611,0.03141,0.02688,1.14038,5.19049,0.66854,1.22012e-05,1.22012e-05,1.22012e-05
75,10828.4,0.98894,1.3322,0.81591,0.2193,0.04418,0.04007,0.03551,0.02906,1.14375,5.11042,0.66852,1.17656e-05,1.17656e-05,1.17656e-05
76,10972.7,0.98024,1.29755,0.81488,0.19661,0.05332,0.03698,0.03189,0.02741,1.1404,5.11668,0.66769,1.133e-05,1.133e-05,1.133e-05
77,11117.5,0.99,1.28243,0.8155,0.19246,0.05168,0.04084,0.0358,0.02965,1.14299,5.13064,0.66892,1.08944e-05,1.08944e-05,1.08944e-05
78,11260.6,0.97014,1.29031,0.81381,0.18759,0.06275,0.04199,0.03708,0.03087,1.14398,5.0831,0.66939,1.04588e-05,1.04588e-05,1.04588e-05
79,11407,0.9628,1.27226,0.81251,0.19609,0.05282,0.04122,0.03626,0.02997,1.14022,5.13646,0.66877,1.00232e-05,1.00232e-05,1.00232e-05
80,11552.9,0.98812,1.26039,0.81631,0.20611,0.05914,0.04161,0.0367,0.03047,1.14258,5.11312,0.66818,9.5876e-06,9.5876e-06,9.5876e-06
81,11694.8,0.95344,1.24669,0.81542,0.20685,0.05969,0.04172,0.03658,0.0304,1.13589,5.07422,0.66817,9.152e-06,9.152e-06,9.152e-06
82,11837.9,0.96596,1.25163,0.81446,0.19938,0.0598,0.03852,0.03326,0.02919,1.13759,5.08672,0.66789,8.7164e-06,8.7164e-06,8.7164e-06
83,11989,0.96219,1.23939,0.81452,0.20687,0.06339,0.03861,0.03338,0.02929,1.138,5.07218,0.66793,8.2808e-06,8.2808e-06,8.2808e-06
84,12138.9,0.96553,1.25372,0.81542,0.21596,0.06116,0.03816,0.03335,0.0286,1.13425,5.07911,0.66629,7.8452e-06,7.8452e-06,7.8452e-06
85,12287.9,0.96698,1.25323,0.81801,0.21618,0.06066,0.04294,0.03759,0.03164,1.13438,5.06491,0.66498,7.4096e-06,7.4096e-06,7.4096e-06
86,12436,0.97417,1.24458,0.81209,0.2091,0.0636,0.04254,0.03709,0.03117,1.13474,5.10955,0.66546,6.974e-06,6.974e-06,6.974e-06
87,12584.3,0.96841,1.24908,0.8136,0.21294,0.06402,0.04277,0.0373,0.03131,1.13558,5.06182,0.66541,6.5384e-06,6.5384e-06,6.5384e-06
88,12735,0.97352,1.23585,0.81217,0.20501,0.0651,0.04298,0.03769,0.03145,1.13819,5.04689,0.66652,6.1028e-06,6.1028e-06,6.1028e-06
89,12885.9,0.96531,1.22786,0.81566,0.2041,0.06483,0.04346,0.0381,0.03263,1.14061,5.0615,0.66713,5.6672e-06,5.6672e-06,5.6672e-06
90,13035.2,0.95506,1.21716,0.81151,0.19472,0.06147,0.04374,0.03838,0.03216,1.13741,5.00098,0.66697,5.2316e-06,5.2316e-06,5.2316e-06
91,13199.2,0.90879,1.12949,0.81042,0.18646,0.06319,0.04239,0.0375,0.03117,1.13775,5.13654,0.66745,4.796e-06,4.796e-06,4.796e-06
92,13346,0.91028,1.12159,0.81012,0.18712,0.06426,0.04172,0.037,0.03073,1.1414,5.15946,0.6673,4.3604e-06,4.3604e-06,4.3604e-06
93,13489,0.90147,1.119,0.81403,0.18833,0.06047,0.04144,0.03671,0.03042,1.1413,5.18945,0.66765,3.9248e-06,3.9248e-06,3.9248e-06
94,13640.6,0.91305,1.11738,0.81062,0.17935,0.0571,0.04175,0.03723,0.0308,1.14195,5.14829,0.6664,3.4892e-06,3.4892e-06,3.4892e-06
95,13791.6,0.91883,1.11892,0.81132,0.18724,0.05746,0.04144,0.03682,0.03044,1.14366,5.14483,0.66765,3.0536e-06,3.0536e-06,3.0536e-06
96,13942.1,0.90295,1.11015,0.81268,0.18955,0.05733,0.04231,0.03743,0.03109,1.14396,5.09963,0.66591,2.618e-06,2.618e-06,2.618e-06
97,14091.3,0.89638,1.09623,0.8143,0.1898,0.06575,0.04251,0.03761,0.03118,1.14305,5.09993,0.6658,2.1824e-06,2.1824e-06,2.1824e-06
98,14237.6,0.90537,1.10717,0.81036,0.19125,0.06562,0.04247,0.03761,0.03132,1.1424,5.09072,0.66592,1.7468e-06,1.7468e-06,1.7468e-06
99,14383.8,0.90371,1.09509,0.81271,0.18318,0.06742,0.04267,0.03786,0.03153,1.14145,5.11483,0.66583,1.3112e-06,1.3112e-06,1.3112e-06
100,14530.5,0.89952,1.0993,0.81239,0.1997,0.06755,0.04279,0.03789,0.03163,1.14038,5.11994,0.66575,8.756e-07,8.756e-07,8.756e-07
