epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.796,1.54825,7.83201,0.90684,0.00113,0.02439,0.00164,0.00162,0.00133,1.39675,4.9309,0.68015,1.46474e-05,1.46474e-05,1.46474e-05
2,313.068,1.49372,6.61337,0.86353,0.00109,0.04129,0.00108,0.00097,0.00086,1.37019,5.85891,0.6779,2.90239e-05,2.90239e-05,2.90239e-05
3,453.465,1.40726,5.50483,0.85408,0.00051,0.02657,0.00047,0.00038,0.00033,1.3156,5.81379,0.67412,4.311e-05,4.311e-05,4.311e-05
4,592.401,1.35159,4.81972,0.85299,0.00182,0.03698,0.00164,0.00156,0.00141,1.31795,5.83148,0.67773,4.26932e-05,4.26932e-05,4.26932e-05
5,731.394,1.31234,4.37859,0.84669,0.00243,0.04191,0.00313,0.00293,0.00257,1.30325,6.40534,0.67344,4.22576e-05,4.22576e-05,4.22576e-05
6,879.888,1.28033,4.08429,0.84245,0.00316,0.05676,0.00446,0.00433,0.00394,1.29384,5.81936,0.67349,4.1822e-05,4.1822e-05,4.1822e-05
7,1025.6,1.26169,3.82187,0.83942,0.00367,0.06741,0.00469,0.0046,0.00413,1.30006,6.18384,0.67608,4.13864e-05,4.13864e-05,4.13864e-05
8,1171.06,1.22951,3.57361,0.84056,0.00294,0.09155,0.00796,0.0078,0.00662,1.2526,6.25134,0.66778,4.09508e-05,4.09508e-05,4.09508e-05
9,1319.86,1.21347,3.4166,0.8372,0.00236,0.10125,0.00544,0.00503,0.00454,1.24027,6.10328,0.66765,4.05152e-05,4.05152e-05,4.05152e-05
10,1470.28,1.20307,3.28596,0.83491,0.00261,0.09838,0.00472,0.00405,0.00362,1.25676,5.8502,0.67075,4.00796e-05,4.00796e-05,4.00796e-05
11,1621.16,1.18992,3.12098,0.83522,0.00261,0.10391,0.00503,0.00456,0.00406,1.25135,5.83275,0.67169,3.9644e-05,3.9644e-05,3.9644e-05
12,1759.42,1.17505,2.99942,0.8325,0.00337,0.11871,0.00867,0.00826,0.00705,1.24732,5.90684,0.6704,3.92084e-05,3.92084e-05,3.92084e-05
13,1897.99,1.16276,2.93809,0.83324,0.00334,0.12377,0.00915,0.00875,0.00767,1.22073,6.05625,0.66698,3.87728e-05,3.87728e-05,3.87728e-05
14,2040.83,1.13638,2.78769,0.8337,0.00435,0.12787,0.00946,0.00851,0.00757,1.22222,6.25951,0.66782,3.83372e-05,3.83372e-05,3.83372e-05
15,2188.42,1.14868,2.72677,0.83069,0.11315,0.06955,0.01244,0.01182,0.0101,1.2106,6.05831,0.66814,3.79016e-05,3.79016e-05,3.79016e-05
16,2334.73,1.1201,2.64026,0.83333,0.00645,0.13384,0.01169,0.01093,0.00961,1.21964,5.53357,0.6668,3.7466e-05,3.7466e-05,3.7466e-05
17,2485.67,1.12402,2.56062,0.82786,0.00576,0.15515,0.01371,0.01304,0.01138,1.21148,6.11583,0.66853,3.70304e-05,3.70304e-05,3.70304e-05
18,2630.55,1.12876,2.53195,0.83036,0.01098,0.16346,0.01597,0.01507,0.01312,1.19977,5.66148,0.66659,3.65948e-05,3.65948e-05,3.65948e-05
19,2775.29,1.13138,2.48526,0.82713,0.00678,0.16459,0.01678,0.01562,0.01355,1.19957,5.7898,0.66759,3.61592e-05,3.61592e-05,3.61592e-05
20,2919.76,1.09761,2.38372,0.82724,0.01429,0.17073,0.01904,0.01798,0.01564,1.20024,5.73447,0.66768,3.57236e-05,3.57236e-05,3.57236e-05
21,3062.8,1.12234,2.39172,0.82718,0.01374,0.18263,0.02056,0.01898,0.01682,1.19652,5.61256,0.66713,3.5288e-05,3.5288e-05,3.5288e-05
22,3206.19,1.09487,2.28589,0.83102,0.00805,0.17007,0.01473,0.01396,0.01217,1.18447,5.73737,0.66969,3.48524e-05,3.48524e-05,3.48524e-05
23,3349,1.10723,2.2579,0.82873,0.01028,0.18891,0.0198,0.01817,0.01593,1.19275,5.59768,0.67025,3.44168e-05,3.44168e-05,3.44168e-05
24,3491.74,1.08526,2.21527,0.82564,0.00758,0.19021,0.01887,0.01728,0.01523,1.19803,5.5018,0.66895,3.39812e-05,3.39812e-05,3.39812e-05
25,3634.74,1.08889,2.15846,0.82638,0.00765,0.18368,0.01796,0.01607,0.0142,1.19865,5.53939,0.66889,3.35456e-05,3.35456e-05,3.35456e-05
26,3783.06,1.08319,2.12998,0.82581,0.00771,0.20539,0.02066,0.01855,0.01629,1.1827,5.3725,0.67013,3.311e-05,3.311e-05,3.311e-05
27,3925.11,1.06584,2.08911,0.82421,0.00844,0.20678,0.02059,0.01856,0.01638,1.19221,5.41479,0.67035,3.26744e-05,3.26744e-05,3.26744e-05
