epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3424.43,1.19981,2.00153,0.80137,0.18815,0.07561,0.0315,0.02215,1.55873,5.49146,0.68996,2.74472e-05,2.74472e-05,2.74472e-05
40,3511.99,1.20777,1.96871,0.80049,0.1812,0.09271,0.03065,0.02219,1.54381,5.55331,0.68907,2.70116e-05,2.70116e-05,2.70116e-05
41,3599.11,1.22138,1.96329,0.80214,0.1688,0.10331,0.03029,0.0214,1.55795,5.40721,0.68958,2.6576e-05,2.6576e-05,2.6576e-05
42,3685.95,1.20495,1.92789,0.80161,0.00866,0.28072,0.03131,0.02216,1.54553,5.57371,0.68975,2.61404e-05,2.61404e-05,2.61404e-05
43,3773.3,1.18591,1.90286,0.80101,0.19578,0.08863,0.03135,0.02219,1.5638,5.41912,0.69011,2.57048e-05,2.57048e-05,2.57048e-05
44,3860.86,1.1764,1.89562,0.79999,0.14776,0.09498,0.02957,0.021,1.56621,5.51175,0.69088,2.52692e-05,2.52692e-05,2.52692e-05
45,3947.92,1.18628,1.86983,0.79984,0.09489,0.14634,0.03101,0.02203,1.55057,5.52862,0.6902,2.48336e-05,2.48336e-05,2.48336e-05
46,4035.2,1.18329,1.87374,0.80054,0.09661,0.15313,0.03113,0.02233,1.53961,5.51827,0.68868,2.4398e-05,2.4398e-05,2.4398e-05
47,4122.3,1.1864,1.86239,0.79799,0.10377,0.15286,0.03213,0.02269,1.53344,5.33797,0.68838,2.39624e-05,2.39624e-05,2.39624e-05
48,4209.61,1.18283,1.83222,0.79986,0.23252,0.05151,0.03155,0.02256,1.52887,5.45844,0.68857,2.35268e-05,2.35268e-05,2.35268e-05
49,4296.72,1.18129,1.81999,0.79873,0.23109,0.06902,0.03525,0.02339,1.51857,5.37466,0.68841,2.30912e-05,2.30912e-05,2.30912e-05
50,4383.45,1.17996,1.8064,0.80057,0.25287,0.06001,0.03385,0.02437,1.53661,5.24753,0.68981,2.26556e-05,2.26556e-05,2.26556e-05
51,4470.63,1.15199,1.78616,0.79707,0.11239,0.16797,0.03401,0.02425,1.52647,5.2958,0.68956,2.222e-05,2.222e-05,2.222e-05
52,4557.74,1.1674,1.77401,0.79708,0.25875,0.05247,0.03461,0.02416,1.53486,5.44109,0.68883,2.17844e-05,2.17844e-05,2.17844e-05
53,4644.63,1.14365,1.73194,0.79781,0.25794,0.05163,0.03415,0.02431,1.52861,5.33664,0.68855,2.13488e-05,2.13488e-05,2.13488e-05
54,4731.43,1.16826,1.76877,0.79812,0.12938,0.14515,0.03353,0.02347,1.52193,5.41537,0.68843,2.09132e-05,2.09132e-05,2.09132e-05
55,4818.63,1.16157,1.7373,0.79718,0.26052,0.06067,0.03955,0.02557,1.5291,5.52419,0.68967,2.04776e-05,2.04776e-05,2.04776e-05
56,4905.9,1.16638,1.74703,0.79764,0.22305,0.07863,0.03788,0.02618,1.52137,5.21956,0.68823,2.0042e-05,2.0042e-05,2.0042e-05
57,4992.8,1.1543,1.74189,0.79743,0.25959,0.06675,0.0395,0.02521,1.52686,5.12,0.68868,1.96064e-05,1.96064e-05,1.96064e-05
58,5079.71,1.15935,1.72751,0.79704,0.26061,0.06678,0.0383,0.02468,1.51918,5.20657,0.68904,1.91708e-05,1.91708e-05,1.91708e-05
59,5166.6,1.14728,1.6864,0.79999,0.20624,0.07736,0.03319,0.024,1.50669,5.37752,0.68822,1.87352e-05,1.87352e-05,1.87352e-05
60,5253.71,1.16524,1.67601,0.79726,0.16914,0.10351,0.03175,0.02243,1.50996,5.27385,0.68933,1.82996e-05,1.82996e-05,1.82996e-05
61,5340.53,1.15446,1.67322,0.79493,0.17577,0.10108,0.03101,0.02179,1.51706,5.39089,0.68868,1.7864e-05,1.7864e-05,1.7864e-05
62,5427.48,1.14261,1.6755,0.79419,0.23077,0.06216,0.03408,0.02407,1.5128,5.3495,0.68946,1.74284e-05,1.74284e-05,1.74284e-05
63,5514.71,1.1581,1.68399,0.798,0.23246,0.05194,0.03474,0.02424,1.51239,5.21231,0.68891,1.69928e-05,1.69928e-05,1.69928e-05
64,5601.68,1.14776,1.66051,0.79995,0.23962,0.05119,0.03482,0.02376,1.51006,5.28043,0.68875,1.65572e-05,1.65572e-05,1.65572e-05
65,5688.94,1.1547,1.65655,0.79489,0.24437,0.05953,0.03471,0.02329,1.50806,5.33738,0.68845,1.61216e-05,1.61216e-05,1.61216e-05
66,5775.55,1.15043,1.64115,0.79549,0.23731,0.06502,0.03922,0.02518,1.50077,5.22896,0.68769,1.5686e-05,1.5686e-05,1.5686e-05
67,5862.92,1.16512,1.64553,0.79636,0.25876,0.0629,0.03638,0.02448,1.51159,5.1777,0.68717,1.52504e-05,1.52504e-05,1.52504e-05
68,5949.74,1.15254,1.6272,0.7955,0.25194,0.06086,0.03832,0.02568,1.50856,5.19742,0.68775,1.48148e-05,1.48148e-05,1.48148e-05
69,6036.91,1.14308,1.61167,0.79372,0.23575,0.06544,0.03945,0.02505,1.50858,5.25011,0.68782,1.43792e-05,1.43792e-05,1.43792e-05
70,6123.86,1.14299,1.61546,0.79924,0.23543,0.0668,0.03532,0.02431,1.51024,5.28956,0.68863,1.39436e-05,1.39436e-05,1.39436e-05
71,6210.75,1.12823,1.6133,0.79717,0.22975,0.07597,0.04004,0.02521,1.51226,5.2752,0.68854,1.3508e-05,1.3508e-05,1.3508e-05
72,6297.82,1.13402,1.56787,0.79481,0.22872,0.07618,0.03967,0.02526,1.50519,5.27557,0.68788,1.30724e-05,1.30724e-05,1.30724e-05
73,6384.7,1.14483,1.59407,0.79863,0.24447,0.06792,0.03881,0.02521,1.51022,5.21222,0.68804,1.26368e-05,1.26368e-05,1.26368e-05
74,6471.66,1.12072,1.56499,0.79475,0.23519,0.07181,0.03864,0.02534,1.50544,5.21247,0.68831,1.22012e-05,1.22012e-05,1.22012e-05
75,6558.47,1.14303,1.60348,0.79606,0.23401,0.07486,0.03706,0.02505,1.50722,5.23876,0.68812,1.17656e-05,1.17656e-05,1.17656e-05
