epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.39,1.76946,7.87645,0.92477,0.00128,0.06363,0.00285,0.00238,1.88197,5.36988,0.72521,1.46474e-05,1.46474e-05,1.46474e-05
2,164.612,1.72517,5.947,0.84834,0.00103,0.0453,0.00149,0.00122,1.83357,6.04328,0.71058,2.90239e-05,2.90239e-05,2.90239e-05
3,243.165,1.58822,4.96471,0.83482,0.00186,0.06773,0.00181,0.00149,1.79155,6.10935,0.70298,4.311e-05,4.311e-05,4.311e-05
4,321.903,1.50997,4.41426,0.82801,0.00195,0.04978,0.00234,0.00184,1.75802,6.43395,0.70008,4.26932e-05,4.26932e-05,4.26932e-05
5,400.815,1.43555,3.98755,0.82449,0.00431,0.0762,0.00426,0.00333,1.74239,6.60009,0.69978,4.22576e-05,4.22576e-05,4.22576e-05
6,479.18,1.44226,3.78557,0.82167,0.00355,0.08333,0.00481,0.00373,1.72918,6.29186,0.70191,4.1822e-05,4.1822e-05,4.1822e-05
7,557.646,1.3925,3.53995,0.81979,0.00313,0.096,0.00495,0.00371,1.69541,6.21654,0.69855,4.13864e-05,4.13864e-05,4.13864e-05
8,636.062,1.37347,3.35887,0.81681,0.0047,0.11331,0.00693,0.00542,1.68484,6.48858,0.69848,4.09508e-05,4.09508e-05,4.09508e-05
9,714.763,1.34298,3.17307,0.8139,0.00425,0.12183,0.00758,0.00572,1.64181,5.91981,0.69888,4.05152e-05,4.05152e-05,4.05152e-05
10,793.025,1.36476,3.06617,0.81359,0.00393,0.14563,0.01115,0.00891,1.65242,6.02677,0.69845,4.00796e-05,4.00796e-05,4.00796e-05
11,871.694,1.31734,2.96043,0.81134,0.00464,0.15503,0.01055,0.00817,1.62645,6.08852,0.69644,3.9644e-05,3.9644e-05,3.9644e-05
12,950.072,1.31921,2.86967,0.81231,0.00507,0.16375,0.01185,0.00891,1.65026,5.94216,0.69586,3.92084e-05,3.92084e-05,3.92084e-05
