epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,5558.85,1.04402,1.82229,0.823,0.01058,0.24192,0.02631,0.02275,0.02048,1.18268,5.34251,0.66927,2.8754e-05,2.8754e-05,2.8754e-05
37,5721.84,1.06187,1.79471,0.82647,0.0105,0.24369,0.02888,0.0254,0.02298,1.1728,5.56151,0.66935,2.83184e-05,2.83184e-05,2.83184e-05
38,5891.48,1.04982,1.76373,0.81659,0.19164,0.04793,0.02902,0.02522,0.02257,1.16607,5.35094,0.66959,2.78828e-05,2.78828e-05,2.78828e-05
39,6052.82,1.04756,1.76475,0.8213,0.25948,0.03309,0.02893,0.02415,0.0219,1.16645,5.38069,0.66817,2.74472e-05,2.74472e-05,2.74472e-05
40,6214.16,1.02643,1.69707,0.82221,0.25664,0.02813,0.02923,0.02418,0.02218,1.16648,5.33851,0.66673,2.70116e-05,2.70116e-05,2.70116e-05
41,6374.95,1.01639,1.67164,0.82165,0.26339,0.03047,0.02933,0.02443,0.02258,1.17126,5.36572,0.66861,2.6576e-05,2.6576e-05,2.6576e-05
42,6536.71,1.01856,1.65607,0.8228,0.00956,0.25223,0.02978,0.02606,0.02321,1.16713,5.28266,0.66898,2.61404e-05,2.61404e-05,2.61404e-05
43,6700.53,1.04046,1.64876,0.82305,0.1886,0.07168,0.03174,0.02512,0.02368,1.15918,5.34787,0.66681,2.57048e-05,2.57048e-05,2.57048e-05
44,6864.58,1.00541,1.64036,0.8161,0.23934,0.0514,0.03012,0.02328,0.02212,1.16992,5.30692,0.66792,2.52692e-05,2.52692e-05,2.52692e-05
45,7023.43,1.0139,1.65023,0.81768,0.20571,0.05488,0.03207,0.02915,0.02451,1.16189,5.30418,0.66754,2.48336e-05,2.48336e-05,2.48336e-05
46,7182.9,1.03549,1.61805,0.82104,0.06095,0.17786,0.03254,0.02542,0.02416,1.16862,5.29993,0.66791,2.4398e-05,2.4398e-05,2.4398e-05
47,7343.6,1.02354,1.62047,0.82046,0.12249,0.09279,0.0369,0.03463,0.02783,1.16083,5.37497,0.66739,2.39624e-05,2.39624e-05,2.39624e-05
48,7506.91,1.0115,1.56645,0.82105,0.12711,0.08343,0.03377,0.03141,0.02623,1.15874,5.35783,0.66842,2.35268e-05,2.35268e-05,2.35268e-05
49,7667.82,1.03452,1.58011,0.82001,0.22299,0.04741,0.03838,0.02767,0.02819,1.15796,5.27393,0.66932,2.30912e-05,2.30912e-05,2.30912e-05
50,7828,1.01441,1.53871,0.81943,0.24414,0.04276,0.03614,0.03334,0.02704,1.15283,5.17087,0.66762,2.26556e-05,2.26556e-05,2.26556e-05
51,7988.48,0.99567,1.53805,0.81851,0.25118,0.04452,0.03397,0.03117,0.02628,1.15436,5.41727,0.66837,2.222e-05,2.222e-05,2.222e-05
52,8151.01,1.01792,1.53706,0.82029,0.23698,0.04416,0.03314,0.03041,0.02596,1.14931,5.21142,0.66654,2.17844e-05,2.17844e-05,2.17844e-05
53,8317.63,0.99461,1.49027,0.81794,0.11186,0.09729,0.03424,0.03151,0.02632,1.14927,5.34251,0.66824,2.13488e-05,2.13488e-05,2.13488e-05
54,8484.42,1.00489,1.51234,0.81742,0.20621,0.04698,0.03137,0.02857,0.0246,1.14972,5.29311,0.66707,2.09132e-05,2.09132e-05,2.09132e-05
55,8647.39,1.00318,1.47715,0.81789,0.11846,0.10946,0.03235,0.02897,0.02499,1.14783,5.17657,0.66712,2.04776e-05,2.04776e-05,2.04776e-05
56,8810.14,1.00042,1.45226,0.81766,0.20499,0.06162,0.03535,0.03213,0.02732,1.15753,5.28617,0.66762,2.0042e-05,2.0042e-05,2.0042e-05
57,8975.7,0.99391,1.46272,0.81832,0.1842,0.06756,0.03887,0.02747,0.02845,1.14231,5.07481,0.66665,1.96064e-05,1.96064e-05,1.96064e-05
58,9139.28,0.99982,1.43222,0.81763,0.14751,0.08379,0.0382,0.02733,0.02807,1.14268,5.24198,0.66625,1.91708e-05,1.91708e-05,1.91708e-05
59,9302.66,1.00888,1.44573,0.81816,0.1886,0.05914,0.04072,0.03786,0.03082,1.14441,5.24436,0.66567,1.87352e-05,1.87352e-05,1.87352e-05
60,9465.72,0.98624,1.41036,0.81447,0.17656,0.07632,0.03466,0.03179,0.02706,1.14497,5.26178,0.66631,1.82996e-05,1.82996e-05,1.82996e-05
61,9629.66,0.98645,1.40831,0.81834,0.2065,0.05482,0.03931,0.03619,0.02953,1.14885,5.27638,0.66798,1.7864e-05,1.7864e-05,1.7864e-05
62,9795.72,1.00282,1.40664,0.81687,0.19119,0.05901,0.04008,0.03699,0.03008,1.14657,5.20245,0.66708,1.74284e-05,1.74284e-05,1.74284e-05
63,9960.03,0.98266,1.38408,0.81236,0.21963,0.05593,0.03944,0.03646,0.02932,1.14733,5.28576,0.66908,1.69928e-05,1.69928e-05,1.69928e-05
64,10121.5,0.98448,1.36735,0.81598,0.21466,0.05691,0.03919,0.03598,0.02913,1.14877,5.27818,0.66814,1.65572e-05,1.65572e-05,1.65572e-05
65,10282.5,0.9749,1.3553,0.81571,0.2125,0.0489,0.03221,0.02866,0.02457,1.13622,5.27205,0.66878,1.61216e-05,1.61216e-05,1.61216e-05
66,10446.6,0.99919,1.37579,0.81637,0.17489,0.06819,0.0326,0.02939,0.02473,1.1433,5.16084,0.66669,1.5686e-05,1.5686e-05,1.5686e-05
67,10608.7,0.98373,1.3684,0.8164,0.21468,0.04496,0.03751,0.03378,0.02867,1.14657,5.22147,0.66869,1.52504e-05,1.52504e-05,1.52504e-05
68,10770.9,0.97683,1.33038,0.81541,0.18113,0.0711,0.03845,0.0351,0.02849,1.14663,5.2266,0.66789,1.48148e-05,1.48148e-05,1.48148e-05
69,10933.8,0.98216,1.33507,0.81754,0.21791,0.06081,0.03828,0.03498,0.02848,1.14363,5.27107,0.6645,1.43792e-05,1.43792e-05,1.43792e-05
70,11095.6,0.96767,1.32442,0.81278,0.20534,0.05628,0.03949,0.0281,0.0277,1.14463,5.13943,0.66423,1.39436e-05,1.39436e-05,1.39436e-05
71,11253.7,0.98237,1.32035,0.81374,0.21146,0.05603,0.03872,0.03521,0.02844,1.13842,5.12213,0.66434,1.3508e-05,1.3508e-05,1.3508e-05
72,11400.7,0.96839,1.30376,0.81698,0.20149,0.06132,0.03905,0.0352,0.02848,1.14693,5.10252,0.66782,1.30724e-05,1.30724e-05,1.30724e-05
73,11546.9,0.97494,1.31815,0.81611,0.177,0.06996,0.03807,0.0346,0.02805,1.14779,5.23754,0.66905,1.26368e-05,1.26368e-05,1.26368e-05
74,11693.3,0.9727,1.30086,0.81658,0.19224,0.05825,0.03933,0.03574,0.02996,1.14765,5.23898,0.66926,1.22012e-05,1.22012e-05,1.22012e-05
75,11839.7,0.98856,1.3348,0.81576,0.19983,0.05493,0.03883,0.03513,0.02841,1.14818,5.13283,0.66997,1.17656e-05,1.17656e-05,1.17656e-05
76,11986.2,0.98041,1.2968,0.81476,0.19481,0.05692,0.04079,0.03701,0.03034,1.14313,5.13761,0.66739,1.133e-05,1.133e-05,1.133e-05
77,12132,0.9904,1.28501,0.81522,0.20222,0.05574,0.03875,0.03504,0.02868,1.14309,5.20233,0.67096,1.08944e-05,1.08944e-05,1.08944e-05
78,12277.6,0.96875,1.29378,0.81374,0.19116,0.05855,0.04025,0.03637,0.02975,1.14227,5.12287,0.66703,1.04588e-05,1.04588e-05,1.04588e-05
79,12424.1,0.96135,1.27354,0.81231,0.19753,0.06061,0.03984,0.03565,0.02921,1.1408,5.16193,0.66632,1.00232e-05,1.00232e-05,1.00232e-05
