epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3540.75,1.19691,1.84849,0.8011,0.23621,0.0478,0.04088,0.02767,1.5692,5.32806,0.68649,2.74472e-05,2.74472e-05,2.74472e-05
40,3629.94,1.2098,1.81986,0.80033,0.15182,0.08489,0.04191,0.02894,1.5566,5.24224,0.68634,2.70116e-05,2.70116e-05,2.70116e-05
41,3719.12,1.21902,1.81622,0.80146,0.01565,0.30498,0.04197,0.0276,1.55832,5.078,0.6863,2.6576e-05,2.6576e-05,2.6576e-05
42,3808.22,1.20104,1.77907,0.8009,0.26683,0.05132,0.04914,0.02729,1.54435,5.22991,0.68446,2.61404e-05,2.61404e-05,2.61404e-05
43,3897.43,1.18913,1.76485,0.80063,0.26176,0.05244,0.05396,0.03159,1.55137,5.15592,0.6842,2.57048e-05,2.57048e-05,2.57048e-05
44,3990.92,1.17878,1.75364,0.79919,0.18855,0.06728,0.04169,0.02943,1.54074,5.13132,0.68304,2.52692e-05,2.52692e-05,2.52692e-05
45,4084.29,1.18368,1.73761,0.79985,0.25756,0.04974,0.0427,0.02945,1.54337,5.17142,0.68202,2.48336e-05,2.48336e-05,2.48336e-05
46,4174.68,1.18473,1.74613,0.80007,0.27003,0.04872,0.04261,0.03007,1.5442,5.07411,0.68106,2.4398e-05,2.4398e-05,2.4398e-05
47,4263.06,1.18086,1.72673,0.79851,0.24032,0.05148,0.03891,0.02612,1.53797,5.17301,0.68006,2.39624e-05,2.39624e-05,2.39624e-05
48,4353.63,1.17931,1.70782,0.80073,0.23853,0.05867,0.05695,0.03507,1.54266,5.15472,0.68032,2.35268e-05,2.35268e-05,2.35268e-05
49,4449.85,1.17986,1.6869,0.79752,0.22281,0.05431,0.04261,0.02832,1.52321,5.26841,0.67696,2.30912e-05,2.30912e-05,2.30912e-05
50,4545.55,1.17761,1.67475,0.79925,0.25999,0.06211,0.04904,0.02978,1.53858,5.13373,0.67835,2.26556e-05,2.26556e-05,2.26556e-05
51,4640.54,1.15109,1.65632,0.79798,0.25221,0.06472,0.05047,0.02885,1.54343,4.98707,0.67946,2.222e-05,2.222e-05,2.222e-05
52,4736.6,1.16305,1.64942,0.79709,0.23642,0.05956,0.04256,0.02836,1.52809,5.06498,0.68001,2.17844e-05,2.17844e-05,2.17844e-05
53,4833.6,1.14153,1.60916,0.79752,0.27128,0.06505,0.05174,0.03002,1.52309,5.12733,0.67754,2.13488e-05,2.13488e-05,2.13488e-05
54,4928.3,1.16839,1.64528,0.79947,0.26231,0.05231,0.04486,0.03043,1.52626,5.04791,0.67706,2.09132e-05,2.09132e-05,2.09132e-05
55,5020.1,1.15792,1.61116,0.79687,0.21668,0.06145,0.04403,0.03012,1.52529,5.05771,0.67775,2.04776e-05,2.04776e-05,2.04776e-05
56,5114.46,1.17264,1.63636,0.79782,0.24284,0.06134,0.05379,0.03368,1.52424,5.11746,0.67907,2.0042e-05,2.0042e-05,2.0042e-05
57,5209.27,1.15451,1.60853,0.7977,0.25542,0.06226,0.05308,0.03313,1.52182,4.97984,0.67764,1.96064e-05,1.96064e-05,1.96064e-05
58,5304.25,1.1633,1.60181,0.79753,0.23479,0.06695,0.05173,0.03133,1.5257,5.13098,0.67837,1.91708e-05,1.91708e-05,1.91708e-05
59,5398.68,1.14808,1.57105,0.80043,0.22958,0.06584,0.05256,0.03138,1.51929,5.1599,0.67915,1.87352e-05,1.87352e-05,1.87352e-05
60,5494.13,1.16631,1.5567,0.79781,0.22979,0.06532,0.0506,0.03012,1.52126,5.07309,0.67691,1.82996e-05,1.82996e-05,1.82996e-05
61,5589.94,1.15532,1.56264,0.79499,0.22813,0.06189,0.04466,0.03124,1.52164,5.12138,0.67731,1.7864e-05,1.7864e-05,1.7864e-05
62,5685.9,1.14516,1.56752,0.79453,0.22296,0.06356,0.05291,0.03172,1.52054,5.02759,0.67762,1.74284e-05,1.74284e-05,1.74284e-05
63,5781.84,1.15669,1.56366,0.79835,0.20089,0.06104,0.04512,0.03139,1.52164,5.05212,0.67771,1.69928e-05,1.69928e-05,1.69928e-05
64,5877.67,1.14356,1.53765,0.79993,0.21118,0.07319,0.05336,0.03159,1.51604,5.10613,0.67643,1.65572e-05,1.65572e-05,1.65572e-05
65,5969.8,1.16063,1.5423,0.79511,0.21083,0.05734,0.04495,0.03119,1.51827,5.09187,0.677,1.61216e-05,1.61216e-05,1.61216e-05
66,6064.83,1.15255,1.53576,0.79635,0.22561,0.06375,0.05273,0.03162,1.51202,5.08529,0.67721,1.5686e-05,1.5686e-05,1.5686e-05
67,6161.09,1.15749,1.53572,0.79584,0.21981,0.06992,0.0529,0.03274,1.51406,5.04656,0.67775,1.52504e-05,1.52504e-05,1.52504e-05
68,6255.84,1.15251,1.51329,0.79642,0.22153,0.06462,0.05258,0.03262,1.51734,5.07351,0.67837,1.48148e-05,1.48148e-05,1.48148e-05
