epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.726,2.08739,10.1404,0.88268,0.00319,0.03477,0.00415,0.00332,1.9411,4.8151,0.69079,1.46474e-05,1.46474e-05,1.46474e-05
2,290.585,1.99681,8.53014,0.8311,0.00052,0.03292,0.00119,0.001,1.89961,5.12595,0.67875,2.90239e-05,2.90239e-05,2.90239e-05
3,419.927,1.87481,7.27719,0.82339,0.00061,0.02555,0.00127,0.00095,1.9022,5.76469,0.67835,4.311e-05,4.311e-05,4.311e-05
4,550.508,1.84205,6.50776,0.81799,0.31802,0.0013,0.00109,0.00081,1.85865,6.06451,0.67588,4.26932e-05,4.26932e-05,4.26932e-05
5,680.108,1.76295,5.90415,0.81589,0.2776,0.00172,0.00106,0.00071,1.84236,5.95362,0.67976,4.22576e-05,4.22576e-05,4.22576e-05
6,809.58,1.75704,5.46022,0.80999,0.2553,0.0035,0.00428,0.00225,1.81395,5.54472,0.67398,4.1822e-05,4.1822e-05,4.1822e-05
7,939.249,1.72013,5.14931,0.8077,0.2305,0.00738,0.00309,0.00166,1.77815,5.50219,0.67409,4.13864e-05,4.13864e-05,4.13864e-05
8,1067.32,1.70118,4.83485,0.80569,0.21557,0.00656,0.00427,0.00229,1.79088,5.6297,0.67267,4.09508e-05,4.09508e-05,4.09508e-05
9,1186.51,1.6903,4.61062,0.80312,0.19903,0.00513,0.00594,0.00353,1.77782,5.64851,0.67183,4.05152e-05,4.05152e-05,4.05152e-05
10,1305.34,1.6527,4.4139,0.80571,0.21606,0.00642,0.00577,0.00337,1.76277,5.39451,0.67676,4.00796e-05,4.00796e-05,4.00796e-05
11,1423.59,1.64525,4.18143,0.80214,0.24869,0.00551,0.00622,0.00345,1.75745,5.60815,0.67407,3.9644e-05,3.9644e-05,3.9644e-05
12,1542.71,1.62147,3.97972,0.79691,0.23251,0.00642,0.00659,0.00343,1.75516,5.35517,0.67475,3.92084e-05,3.92084e-05,3.92084e-05
13,1661.65,1.64277,3.81159,0.7992,0.25927,0.00772,0.008,0.00458,1.73819,5.76567,0.67027,3.87728e-05,3.87728e-05,3.87728e-05
14,1780.25,1.60093,3.68847,0.79957,0.23248,0.00728,0.00874,0.00515,1.74046,5.39971,0.67262,3.83372e-05,3.83372e-05,3.83372e-05
15,1899.62,1.60989,3.54144,0.79846,0.16319,0.01808,0.01055,0.0049,1.71403,5.46986,0.66924,3.79016e-05,3.79016e-05,3.79016e-05
16,2017.91,1.61506,3.41096,0.79816,0.1603,0.02181,0.01747,0.00731,1.73513,5.28418,0.67354,3.7466e-05,3.7466e-05,3.7466e-05
17,2136.33,1.5912,3.3369,0.79749,0.25659,0.00728,0.00868,0.00467,1.724,5.85771,0.66983,3.70304e-05,3.70304e-05,3.70304e-05
18,2254.4,1.57446,3.22793,0.79311,0.24046,0.00854,0.00862,0.00455,1.70861,5.19939,0.66897,3.65948e-05,3.65948e-05,3.65948e-05
19,2372.52,1.57954,3.0979,0.79307,0.17933,0.02403,0.01028,0.0055,1.72169,5.86844,0.67075,3.61592e-05,3.61592e-05,3.61592e-05
20,2491.03,1.59341,3.0168,0.79051,0.16972,0.03428,0.01946,0.01355,1.71558,5.32091,0.66717,3.57236e-05,3.57236e-05,3.57236e-05
21,2609.39,1.57941,2.94038,0.79161,0.21243,0.02722,0.01594,0.0092,1.68863,5.2266,0.66819,3.5288e-05,3.5288e-05,3.5288e-05
22,2728.22,1.57617,2.88435,0.79213,0.21133,0.02635,0.01677,0.01091,1.68427,5.11445,0.66746,3.48524e-05,3.48524e-05,3.48524e-05
23,2847.27,1.56956,2.84788,0.79352,0.2007,0.02708,0.01933,0.01221,1.7237,4.987,0.66822,3.44168e-05,3.44168e-05,3.44168e-05
24,2966.11,1.55444,2.71697,0.79087,0.22632,0.02128,0.02157,0.0139,1.67944,5.03559,0.66625,3.39812e-05,3.39812e-05,3.39812e-05
25,3083.35,1.5439,2.68892,0.79131,0.19394,0.02668,0.02117,0.0115,1.69098,5.25723,0.66767,3.35456e-05,3.35456e-05,3.35456e-05
26,3200.7,1.53988,2.64341,0.79148,0.24066,0.01778,0.02345,0.01319,1.68987,5.03638,0.66973,3.311e-05,3.311e-05,3.311e-05
