               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.2015,              1.7794,             0.86262,             0.13276,             0.10671,            0.035345,            0.023505,              1.1187,              5.0241,             0.70117,            0.006436,            0.006436,            0.006436
                  38,              1.1968,              1.7661,             0.85656,           0.0086161,             0.31393,            0.040269,            0.028239,              1.0998,               4.819,             0.70079,            0.006337,            0.006337,            0.006337
                  39,              1.1948,              1.7521,             0.85608,             0.25067,            0.063267,            0.047464,            0.030259,              1.1008,               5.119,             0.70494,            0.006238,            0.006238,            0.006238
                  40,              1.1638,              1.7487,              0.8534,             0.32193,            0.057843,            0.045658,            0.026167,              1.1325,              4.9961,             0.70927,            0.006139,            0.006139,            0.006139
                  41,               1.159,              1.6989,             0.85757,             0.30913,            0.037688,            0.040043,            0.026053,              1.1131,              5.1329,             0.70423,             0.00604,             0.00604,             0.00604
                  42,              1.1674,              1.7111,             0.85613,             0.26517,            0.078648,            0.047048,            0.031001,              1.0859,              4.8988,             0.70181,            0.005941,            0.005941,            0.005941
                  43,              1.1575,              1.7095,             0.85599,             0.26403,            0.074855,            0.047773,            0.028672,              1.1003,              5.0606,             0.70252,            0.005842,            0.005842,            0.005842
                  44,              1.1541,               1.686,             0.85527,             0.34173,            0.051674,            0.045104,            0.030936,              1.0712,              4.9199,             0.70153,            0.005743,            0.005743,            0.005743
                  45,              1.1571,              1.7036,             0.84916,             0.32005,            0.052118,            0.050795,            0.030843,              1.0881,               4.956,             0.69999,            0.005644,            0.005644,            0.005644
                  46,              1.1439,              1.6948,             0.85125,             0.29118,            0.060192,            0.048705,            0.030349,              1.0688,              5.0915,             0.69846,            0.005545,            0.005545,            0.005545
                  47,              1.1437,              1.6791,             0.85053,             0.30842,            0.064519,            0.046583,            0.028659,              1.0592,              5.1947,             0.70034,            0.005446,            0.005446,            0.005446
                  48,              1.1268,              1.6498,             0.84745,              0.3011,            0.052378,             0.04781,            0.031979,              1.0625,              4.9851,             0.69397,            0.005347,            0.005347,            0.005347
                  49,              1.1576,              1.6431,             0.85252,             0.27956,            0.067006,            0.046755,            0.029165,              1.0499,              5.1974,             0.69723,            0.005248,            0.005248,            0.005248
                  50,              1.1205,              1.6376,             0.85156,             0.30995,            0.050017,            0.039411,            0.026807,              1.0719,              4.8106,             0.69634,            0.005149,            0.005149,            0.005149
                  51,              1.1341,              1.6199,             0.84578,              0.3278,            0.067467,            0.043371,            0.028808,              1.0579,              5.0375,             0.69382,             0.00505,             0.00505,             0.00505
                  52,              1.1132,              1.6371,             0.84545,             0.30603,            0.059345,               0.043,            0.027227,               1.051,              4.8731,             0.69639,            0.004951,            0.004951,            0.004951
                  53,              1.1212,              1.6203,             0.84734,             0.33655,            0.075441,            0.050438,            0.031658,              1.0403,              5.0026,              0.6927,            0.004852,            0.004852,            0.004852
                  54,              1.1122,              1.6103,              0.8482,             0.30906,            0.070694,            0.050248,            0.031932,              1.0396,              5.0971,             0.69289,            0.004753,            0.004753,            0.004753
                  55,              1.1091,              1.5973,             0.84916,             0.31735,            0.064633,            0.049801,            0.031594,              1.0421,              4.8017,             0.69274,            0.004654,            0.004654,            0.004654
                  56,              1.0962,              1.5958,             0.84315,               0.295,            0.064592,            0.051321,            0.031609,              1.0355,              4.8344,             0.69369,            0.004555,            0.004555,            0.004555
                  57,              1.0923,              1.5664,             0.84374,             0.30359,            0.062135,            0.045922,            0.030855,              1.0379,              4.8863,             0.69243,            0.004456,            0.004456,            0.004456
                  58,              1.0932,              1.5766,             0.84893,             0.31362,            0.077574,            0.051318,            0.033758,              1.0272,              4.9572,             0.69321,            0.004357,            0.004357,            0.004357
                  59,              1.1016,              1.5843,             0.84333,             0.31147,            0.077535,            0.055152,            0.032084,              1.0307,              4.8415,             0.69341,            0.004258,            0.004258,            0.004258
                  60,              1.0889,              1.5601,               0.846,             0.30141,            0.065062,            0.048846,            0.030555,              1.0281,              4.8925,             0.69151,            0.004159,            0.004159,            0.004159
                  61,                 1.1,              1.5812,              0.8443,             0.32003,            0.061791,            0.050578,             0.03218,               1.021,              4.8491,             0.69093,             0.00406,             0.00406,             0.00406
                  62,              1.0897,              1.5398,              0.8426,             0.33946,            0.074665,            0.059917,            0.038527,              1.0174,              4.8654,             0.68793,            0.003961,            0.003961,            0.003961
                  63,              1.1103,              1.5385,             0.84289,             0.34093,            0.072921,            0.059369,            0.039947,              1.0077,              4.8686,             0.68864,            0.003862,            0.003862,            0.003862
                  64,              1.0693,              1.5179,             0.83997,             0.32728,            0.077511,            0.059273,            0.041465,              1.0075,              4.8233,             0.68925,            0.003763,            0.003763,            0.003763
                  65,              1.0842,              1.5618,             0.83967,             0.33494,            0.068267,            0.054799,            0.034419,              1.0128,              4.8952,             0.68907,            0.003664,            0.003664,            0.003664
                  66,               1.099,              1.5353,             0.84257,             0.32398,            0.075408,            0.054515,             0.03476,              1.0133,              4.9065,             0.68888,            0.003565,            0.003565,            0.003565
                  67,              1.0767,              1.5346,             0.84147,             0.30912,            0.070543,             0.05697,            0.036882,             0.99831,              5.0178,             0.68734,            0.003466,            0.003466,            0.003466
                  68,              1.0632,              1.5085,             0.83629,             0.33113,            0.061824,            0.052436,            0.034466,             0.99262,              4.9041,              0.6874,            0.003367,            0.003367,            0.003367
                  69,              1.0548,              1.4902,             0.84057,             0.28592,             0.05673,            0.049877,            0.036848,             0.99188,              4.9109,             0.68663,            0.003268,            0.003268,            0.003268
                  70,               1.055,              1.4927,             0.84145,             0.31277,            0.056972,            0.048529,            0.035598,             0.99023,              4.8036,             0.68644,            0.003169,            0.003169,            0.003169
                  71,              1.0673,              1.4977,             0.84073,             0.30667,            0.059992,            0.046033,             0.03332,              0.9974,               4.741,             0.68759,             0.00307,             0.00307,             0.00307
                  72,              1.0604,              1.4866,             0.83591,             0.30728,            0.054009,            0.050558,            0.037035,             0.98454,               4.758,               0.686,            0.002971,            0.002971,            0.002971
                  73,              1.0475,              1.4671,             0.83638,             0.28492,            0.072622,            0.055811,            0.039099,             0.98494,              4.7951,              0.6869,            0.002872,            0.002872,            0.002872
                  74,              1.0713,              1.4849,             0.84006,             0.29196,            0.085895,            0.054363,            0.038787,             0.98806,              4.7878,             0.68725,            0.002773,            0.002773,            0.002773
                  75,              1.0383,               1.462,             0.83427,             0.30735,            0.074712,            0.059161,            0.039888,             0.99006,              4.7126,             0.68717,            0.002674,            0.002674,            0.002674
                  76,              1.0555,                1.46,             0.83666,             0.33232,            0.079064,             0.06236,            0.044961,             0.97988,              4.6904,             0.68451,            0.002575,            0.002575,            0.002575
                  77,              1.0372,              1.4404,             0.83598,             0.33062,             0.08866,            0.068987,            0.049794,             0.99103,              4.6847,             0.68734,            0.002476,            0.002476,            0.002476
                  78,               1.049,              1.4625,             0.83837,             0.33982,             0.08493,            0.067438,            0.047975,             0.98667,              4.7792,             0.68732,            0.002377,            0.002377,            0.002377
                  79,              1.0475,              1.4491,             0.83406,             0.34001,            0.092035,            0.069987,            0.050202,             0.97506,              4.6705,             0.68647,            0.002278,            0.002278,            0.002278
                  80,              1.0415,              1.4211,             0.83271,             0.33033,            0.097117,             0.06567,            0.046454,             0.97666,               4.759,             0.68691,            0.002179,            0.002179,            0.002179
                  81,              1.0481,              1.4166,              0.8407,             0.29889,            0.087817,            0.058696,            0.040314,             0.98397,              4.7582,             0.68732,             0.00208,             0.00208,             0.00208
                  82,              1.0448,              1.4255,             0.83415,             0.29584,            0.091662,            0.058927,            0.041139,             0.98587,              4.6999,             0.68793,            0.001981,            0.001981,            0.001981
